order_item_id,order_id,product_id,quantity,unit_price,discount_amount,tax_amount,created_at,updated_at,,
1,1,2019,2,55.99,0.0,25.76,2024-05-10T23:19:00,2024-05-10T23:19:00,,
2,2,1023,1,28.99,0.0,6.67,2023-11-13T11:16:00,2023-11-13T11:16:00,,
3,2,2024,1,69.99,7.0,14.49,2023-11-13T11:16:00,2023-11-13T11:16:00,,
4,2,2018,3,45.99,0.0,31.73,2023-11-13T11:16:00,2023-11-13T11:16:00,,
5,3,2007,1,12.99,0.0,2.99,2024-03-04T15:47:00,2024-03-04T15:47:00,,
6,3,2013,2,45.99,9.2,19.04,2024-03-04T15:47:00,2024-03-04T15:47:00,,
7,3,2011,2,7.99,0.0,3.68,2024-03-04T15:47:00,2024-03-04T15:47:00,,
8,3,1015,1,69.99,0.0,16.1,2024-03-04T15:47:00,2024-03-04T15:47:00,,
9,4,4003,1,24.99,0.0,5.75,2024-01-13T14:28:00,2024-01-13T14:28:00,,
10,4,1030,1,189.99,19.0,39.33,2024-01-13T14:28:00,2024-01-13T14:28:00,,
11,4,1009,1,15.99,0.0,3.68,2024-01-13T14:28:00,2024-01-13T14:28:00,,
12,5,2031,1,899.99,0.0,207.0,2023-04-16T14:10:00,2023-04-16T14:10:00,,
13,5,4004,3,119.99,18.0,78.65,2023-04-16T14:10:00,2023-04-16T14:10:00,,
14,6,1012,1,18.99,1.9,3.93,2023-09-16T18:01:00,2023-09-16T18:01:00,,
15,6,2020,1,199.99,20.0,41.4,2023-09-16T18:01:00,2023-09-16T18:01:00,,
16,7,5011,2,29.99,0.0,13.8,2024-04-17T19:00:00,2024-04-17T19:00:00,,
17,7,5006,1,249.99,0.0,57.5,2024-04-17T19:00:00,2024-04-17T19:00:00,,
18,8,1030,1,189.99,0.0,43.7,2023-11-24T10:11:00,2023-11-24T10:11:00,,
19,9,2004,1,3.99,0.4,0.83,2023-10-11T13:41:00,2023-10-11T13:41:00,,
20,10,2032,2,39.99,4.0,17.48,2023-05-31T18:00:00,2023-05-31T18:00:00,,
21,10,1016,1,35.99,1.8,7.86,2023-05-31T18:00:00,2023-05-31T18:00:00,,
22,11,3002,1,15.99,0.0,3.68,2023-05-25T15:53:00,2023-05-25T15:53:00,,
23,11,2024,1,69.99,3.5,15.29,2023-05-25T15:53:00,2023-05-25T15:53:00,,
24,12,1034,1,99.99,0.0,23.0,2023-10-09T23:16:00,2023-10-09T23:16:00,,
25,12,5008,1,299.99,30.0,62.1,2023-10-09T23:16:00,2023-10-09T23:16:00,,
26,12,2030,1,89.99,9.0,18.63,2023-10-09T23:16:00,2023-10-09T23:16:00,,
27,13,4004,1,119.99,0.0,27.6,2023-03-19T10:39:00,2023-03-19T10:39:00,,
28,13,3008,2,18.99,0.0,8.74,2023-03-19T10:39:00,2023-03-19T10:39:00,,
29,13,2010,1,9.99,0.0,2.3,2023-03-19T10:39:00,2023-03-19T10:39:00,,
30,14,2026,1,32.99,0.0,7.59,2023-02-17T16:03:00,2023-02-17T16:03:00,,
31,14,4005,1,189.99,9.5,41.51,2023-02-17T16:03:00,2023-02-17T16:03:00,,
32,15,4007,1,28.99,0.0,6.67,2023-11-21T16:14:00,2023-11-21T16:14:00,,
33,15,1029,2,119.99,0.0,55.2,2023-11-21T16:14:00,2023-11-21T16:14:00,,
34,16,3006,2,12.99,2.6,5.38,2023-09-10T11:14:00,2023-09-10T11:14:00,,
35,16,1032,1,49.99,2.5,10.92,2023-09-10T11:14:00,2023-09-10T11:14:00,,
36,16,4004,2,119.99,0.0,55.2,2023-09-10T11:14:00,2023-09-10T11:14:00,,
37,17,1015,1,69.99,3.5,15.29,2023-01-29T15:10:00,2023-01-29T15:10:00,,
38,17,3002,1,15.99,0.0,3.68,2023-01-29T15:10:00,2023-01-29T15:10:00,,
39,17,1016,1,35.99,3.6,7.45,2023-01-29T15:10:00,2023-01-29T15:10:00,,
40,17,1025,1,45.99,0.0,10.58,2023-01-29T15:10:00,2023-01-29T15:10:00,,
41,18,2030,1,89.99,0.0,20.7,2024-04-18T14:49:00,2024-04-18T14:49:00,,
42,18,4002,2,18.99,0.0,8.74,2024-04-18T14:49:00,2024-04-18T14:49:00,,
43,19,2029,1,129.99,0.0,29.9,2023-05-04T22:22:00,2023-05-04T22:22:00,,
44,19,5007,1,89.99,0.0,20.7,2023-05-04T22:22:00,2023-05-04T22:22:00,,
45,19,1027,1,39.99,0.0,9.2,2023-05-04T22:22:00,2023-05-04T22:22:00,,
46,20,1012,3,18.99,0.0,13.1,2024-04-04T10:19:00,2024-04-04T10:19:00,,
47,21,1003,2,199.99,0.0,92.0,2024-04-14T20:47:00,2024-04-14T20:47:00,,
48,21,1030,2,189.99,38.0,78.66,2024-04-14T20:47:00,2024-04-14T20:47:00,,
49,22,1033,2,79.99,8.0,34.96,2023-09-02T19:46:00,2023-09-02T19:46:00,,
50,23,4004,1,119.99,0.0,27.6,2023-06-07T09:34:00,2023-06-07T09:34:00,,
51,23,1029,1,119.99,6.0,26.22,2023-06-07T09:34:00,2023-06-07T09:34:00,,
52,24,2019,1,55.99,2.8,12.23,2024-05-11T16:42:00,2024-05-11T16:42:00,,
53,24,3007,1,15.99,1.6,3.31,2024-05-11T16:42:00,2024-05-11T16:42:00,,
54,25,1019,3,55.99,0.0,38.63,2023-11-30T09:45:00,2023-11-30T09:45:00,,
55,25,3004,1,249.99,0.0,57.5,2023-11-30T09:45:00,2023-11-30T09:45:00,,
56,25,2007,1,12.99,0.65,2.84,2023-11-30T09:45:00,2023-11-30T09:45:00,,
57,25,4008,1,24.99,0.0,5.75,2023-11-30T09:45:00,2023-11-30T09:45:00,,
58,26,2030,2,89.99,9.0,39.33,2023-11-16T10:51:00,2023-11-16T10:51:00,,
59,26,1002,2,165.99,16.6,72.54,2023-11-16T10:51:00,2023-11-16T10:51:00,,
60,26,2009,1,16.99,1.7,3.52,2023-11-16T10:51:00,2023-11-16T10:51:00,,
61,27,2024,1,69.99,0.0,16.1,2024-04-12T19:48:00,2024-04-12T19:48:00,,
62,27,5005,1,599.99,0.0,138.0,2024-04-12T19:48:00,2024-04-12T19:48:00,,
63,27,1025,2,45.99,0.0,21.16,2024-04-12T19:48:00,2024-04-12T19:48:00,,
64,28,2001,1,159.99,16.0,33.12,2023-08-28T14:55:00,2023-08-28T14:55:00,,
65,29,1023,1,28.99,2.9,6.0,2024-04-07T12:21:00,2024-04-07T12:21:00,,
66,30,1004,2,8.99,0.0,4.14,2024-05-10T09:49:00,2024-05-10T09:49:00,,
67,31,1033,1,79.99,8.0,16.56,2023-01-30T17:35:00,2023-01-30T17:35:00,,
68,32,2006,1,79.99,0.0,18.4,2023-10-22T14:02:00,2023-10-22T14:02:00,,
69,32,1011,2,29.99,0.0,13.8,2023-10-22T14:02:00,2023-10-22T14:02:00,,
70,33,1022,1,89.99,0.0,20.7,2023-02-02T14:23:00,2023-02-02T14:23:00,,
71,33,3005,1,159.99,0.0,36.8,2023-02-02T14:23:00,2023-02-02T14:23:00,,
72,33,5006,1,249.99,0.0,57.5,2023-02-02T14:23:00,2023-02-02T14:23:00,,
73,34,1014,1,32.99,0.0,7.59,2024-05-01T21:41:00,2024-05-01T21:41:00,,
74,34,1001,1,189.99,0.0,43.7,2024-05-01T21:41:00,2024-05-01T21:41:00,,
75,35,1005,1,45.99,0.0,10.58,2023-10-18T16:32:00,2023-10-18T16:32:00,,
76,35,2023,3,39.99,0.0,27.59,2023-10-18T16:32:00,2023-10-18T16:32:00,,
77,36,2031,1,899.99,90.0,186.3,2023-11-03T16:55:00,2023-11-03T16:55:00,,
78,37,1014,1,32.99,0.0,7.59,2023-02-08T20:42:00,2023-02-08T20:42:00,,
79,37,5010,3,35.99,0.0,24.83,2023-02-08T20:42:00,2023-02-08T20:42:00,,
80,37,1032,1,49.99,0.0,11.5,2023-02-08T20:42:00,2023-02-08T20:42:00,,
81,38,4003,1,24.99,0.0,5.75,2023-07-24T21:29:00,2023-07-24T21:29:00,,
82,38,1010,1,22.99,2.3,4.76,2023-07-24T21:29:00,2023-07-24T21:29:00,,
83,39,5002,1,22.99,2.3,4.76,2023-08-11T14:39:00,2023-08-11T14:39:00,,
84,39,3003,2,18.99,0.0,8.74,2023-08-11T14:39:00,2023-08-11T14:39:00,,
85,40,1029,1,119.99,0.0,27.6,2024-02-15T17:01:00,2024-02-15T17:01:00,,
86,40,3004,1,249.99,0.0,57.5,2024-02-15T17:01:00,2024-02-15T17:01:00,,
87,41,2024,1,69.99,0.0,16.1,2023-08-11T08:52:00,2023-08-11T08:52:00,,
88,42,5010,1,35.99,3.6,7.45,2023-06-04T16:15:00,2023-06-04T16:15:00,,
89,43,2019,1,55.99,2.8,12.23,2023-12-27T19:22:00,2023-12-27T19:22:00,,
90,43,1015,3,69.99,0.0,48.29,2023-12-27T19:22:00,2023-12-27T19:22:00,,
91,43,4005,1,189.99,0.0,43.7,2023-12-27T19:22:00,2023-12-27T19:22:00,,
92,44,1022,1,89.99,4.5,19.66,2023-12-21T21:25:00,2023-12-21T21:25:00,,
93,45,4003,1,24.99,0.0,5.75,2024-02-29T21:38:00,2024-02-29T21:38:00,,
94,45,2030,1,89.99,0.0,20.7,2024-02-29T21:38:00,2024-02-29T21:38:00,,
95,46,5002,1,22.99,0.0,5.29,2024-05-02T14:19:00,2024-05-02T14:19:00,,
96,46,2004,3,3.99,0.0,2.75,2024-05-02T14:19:00,2024-05-02T14:19:00,,
97,47,1031,2,42.99,0.0,19.78,2024-04-17T23:19:00,2024-04-17T23:19:00,,
98,48,4006,1,299.99,0.0,69.0,2023-12-27T12:28:00,2023-12-27T12:28:00,,
99,48,1008,1,24.99,0.0,5.75,2023-12-27T12:28:00,2023-12-27T12:28:00,,
100,48,4008,1,24.99,1.25,5.46,2023-12-27T12:28:00,2023-12-27T12:28:00,,
101,49,4003,1,24.99,0.0,5.75,2024-04-21T21:32:00,2024-04-21T21:32:00,,
102,49,2028,1,29.99,0.0,6.9,2024-04-21T21:32:00,2024-04-21T21:32:00,,
103,50,5011,1,29.99,0.0,6.9,2023-09-13T11:53:00,2023-09-13T11:53:00,,
104,50,5008,1,299.99,30.0,62.1,2023-09-13T11:53:00,2023-09-13T11:53:00,,
105,50,5002,1,22.99,0.0,5.29,2023-09-13T11:53:00,2023-09-13T11:53:00,,
106,51,3003,1,18.99,1.9,3.93,2023-07-01T09:29:00,2023-07-01T09:29:00,,
107,51,5003,2,19.99,0.0,9.2,2023-07-01T09:29:00,2023-07-01T09:29:00,,
108,51,1015,1,69.99,3.5,15.29,2023-07-01T09:29:00,2023-07-01T09:29:00,,
