order_id,customer_id,order_date,payment_method_id,session_id,order_status,subtotal_amount,discount_amount,tax_amount,shipping_amount,total_amount,created_at,updated_at,,
1,52,2024-05-10T23:19:00,6,325,completed,620.7,93.11,121.35,0,648.94,2024-05-10T23:19:00,2024-05-10T23:19:00,,
2,151,2023-11-13T11:16:00,2,516,completed,286.4,0.0,65.87,15.99,368.26,2023-11-13T11:16:00,2023-11-13T11:16:00,,
3,104,2024-03-04T15:47:00,3,2543,completed,361.29,0.0,83.1,19.99,464.38,2024-03-04T15:47:00,2024-03-04T15:47:00,,
4,55,2024-01-13T14:28:00,6,417,completed,379.01,0.0,87.17,0,466.18,2024-01-13T14:28:00,2024-01-13T14:28:00,,
5,90,2023-04-16T14:10:00,7,2468,shipped,106.91,5.35,23.36,25.99,150.91,2023-04-16T14:10:00,2023-04-16T14:10:00,,
6,79,2023-09-16T18:01:00,4,3412,completed,79.79,11.97,15.6,0,83.42,2023-09-16T18:01:00,2023-09-16T18:01:00,,
7,45,2024-04-17T19:00:00,4,1320,completed,595.18,0.0,136.89,25.99,758.06,2024-04-17T19:00:00,2024-04-17T19:00:00,,
8,52,2023-11-24T10:11:00,7,556,cancelled,369.77,18.49,80.79,19.99,452.06,2023-11-24T10:11:00,2023-11-24T10:11:00,,
9,8,2023-10-11T13:41:00,4,2841,completed,589.0,117.8,108.38,0,579.58,2023-10-11T13:41:00,2023-10-11T13:41:00,,
10,175,2023-05-31T18:00:00,6,1233,cancelled,360.96,36.1,74.72,0,399.58,2023-05-31T18:00:00,2023-05-31T18:00:00,,
11,141,2023-05-25T15:53:00,4,272,shipped,723.94,0.0,166.51,0,890.45,2023-05-25T15:53:00,2023-05-25T15:53:00,,
12,30,2023-10-09T23:16:00,4,138,completed,614.33,0.0,141.3,19.99,775.62,2023-10-09T23:16:00,2023-10-09T23:16:00,,
13,188,2023-03-19T10:39:00,1,3333,completed,571.13,0.0,131.36,0,702.49,2023-03-19T10:39:00,2023-03-19T10:39:00,,
14,141,2023-02-17T16:03:00,1,2555,shipped,407.6,20.38,89.06,0,476.28,2023-02-17T16:03:00,2023-02-17T16:03:00,,
15,5,2023-11-21T16:14:00,3,2488,completed,568.07,113.61,104.53,19.99,578.98,2023-11-21T16:14:00,2023-11-21T16:14:00,,
16,43,2023-09-10T11:14:00,2,3484,completed,408.69,61.3,79.9,19.99,447.28,2023-09-10T11:14:00,2023-09-10T11:14:00,,
17,5,2023-01-29T15:10:00,7,142,completed,556.92,27.85,121.69,0,650.76,2023-01-29T15:10:00,2023-01-29T15:10:00,,
18,18,2024-04-18T14:49:00,3,1553,completed,138.19,20.73,27.02,0,144.48,2024-04-18T14:49:00,2024-04-18T14:49:00,,
19,140,2023-05-04T22:22:00,1,1436,completed,262.3,0.0,60.33,0,322.63,2023-05-04T22:22:00,2023-05-04T22:22:00,,
20,62,2024-04-04T10:19:00,4,2056,completed,322.37,64.47,59.32,0,317.22,2024-04-04T10:19:00,2024-04-04T10:19:00,,
21,57,2024-04-14T20:47:00,7,2770,completed,699.26,139.85,128.66,25.99,714.06,2024-04-14T20:47:00,2024-04-14T20:47:00,,
22,151,2023-09-02T19:46:00,7,2768,processing,168.39,33.68,30.98,25.99,191.68,2023-09-02T19:46:00,2023-09-02T19:46:00,,
23,122,2023-06-07T09:34:00,1,2420,shipped,216.63,0.0,49.82,0,266.45,2023-06-07T09:34:00,2023-06-07T09:34:00,,
24,69,2024-05-11T16:42:00,5,3256,completed,127.39,19.11,24.9,0,133.18,2024-05-11T16:42:00,2024-05-11T16:42:00,,
25,132,2023-11-30T09:45:00,5,3254,completed,154.6,15.46,32.0,0,171.14,2023-11-30T09:45:00,2023-11-30T09:45:00,,
26,134,2023-11-16T10:51:00,1,794,cancelled,617.95,30.9,135.02,19.99,742.06,2023-11-16T10:51:00,2023-11-16T10:51:00,,
27,199,2024-04-12T19:48:00,3,375,completed,490.94,49.09,101.63,25.99,569.47,2024-04-12T19:48:00,2024-04-12T19:48:00,,
28,64,2023-08-28T14:55:00,4,134,completed,461.68,69.25,90.26,15.99,498.68,2023-08-28T14:55:00,2023-08-28T14:55:00,,
29,124,2024-04-07T12:21:00,1,1146,completed,135.69,13.57,28.09,0,150.21,2024-04-07T12:21:00,2024-04-07T12:21:00,,
30,181,2024-05-10T09:49:00,2,1561,completed,351.86,0.0,80.93,25.99,458.78,2024-05-10T09:49:00,2024-05-10T09:49:00,,
31,54,2023-01-30T17:35:00,2,3079,completed,222.27,22.23,46.01,0,246.05,2023-01-30T17:35:00,2023-01-30T17:35:00,,
32,102,2023-10-22T14:02:00,1,1611,cancelled,85.15,0.0,19.58,25.99,130.72,2023-10-22T14:02:00,2023-10-22T14:02:00,,
33,170,2023-02-02T14:23:00,5,1739,completed,56.0,2.8,12.24,0,65.44,2023-02-02T14:23:00,2023-02-02T14:23:00,,
34,99,2024-05-01T21:41:00,4,2317,completed,683.34,34.17,149.31,19.99,818.47,2024-05-01T21:41:00,2024-05-01T21:41:00,,
35,110,2023-10-18T16:32:00,3,3478,shipped,485.57,24.28,106.1,0,567.39,2023-10-18T16:32:00,2023-10-18T16:32:00,,
36,48,2023-11-03T16:55:00,6,2541,cancelled,428.98,64.35,83.86,0,448.49,2023-11-03T16:55:00,2023-11-03T16:55:00,,
37,113,2023-02-08T20:42:00,1,1888,processing,92.83,9.28,19.22,15.99,118.76,2023-02-08T20:42:00,2023-02-08T20:42:00,,
38,114,2023-07-24T21:29:00,4,3051,completed,621.22,0.0,142.88,25.99,790.09,2023-07-24T21:29:00,2023-07-24T21:29:00,,
39,102,2023-08-11T14:39:00,1,1505,completed,657.04,0.0,151.12,19.99,828.15,2023-08-11T14:39:00,2023-08-11T14:39:00,,
