website_pageview_id,created_at,website_session_id,pageview_url,,
1,2023-05-03T16:19:00,1,/,,
2,2023-05-03T16:19:23,1,/kategoria/psy/zabawki,,
3,2023-05-03T16:21:14,1,/kategoria/ryby-i-akwaria,,
4,2023-05-03T16:22:10,1,/kategoria/psy,,
5,2024-03-10T08:46:00,2,/,,
6,2024-03-10T08:46:49,2,/kategoria/psy/zabawki,,
7,2024-03-10T08:47:53,2,/produkt/5001,,
8,2024-03-10T08:50:26,2,/produkt/2002,,
9,2024-03-10T08:51:48,2,/koszyk,,
10,2024-03-10T08:53:52,2,/dostawa,,
11,2024-03-10T08:56:55,2,/platnosc,,
12,2024-03-10T08:59:01,2,/potwierdzenie,,
13,2024-04-15T15:21:00,3,/,,
14,2024-04-15T15:21:24,3,/kategoria/koty/zabawki,,
15,2024-04-15T15:22:12,3,/produkt/2020,,
16,2024-04-15T15:25:25,3,/produkt/2011,,
17,2024-04-15T15:27:45,3,/koszyk,,
18,2024-04-15T15:29:58,3,/dostawa,,
19,2024-04-15T15:30:41,3,/platnosc,,
20,2024-04-15T15:34:11,3,/potwierdzenie,,
21,2023-09-28T20:08:00,4,/,,
22,2023-09-28T20:08:22,4,/kategoria/psy/karma,,
23,2023-09-28T20:10:45,4,/kategoria/psy/karma,,
24,2023-09-28T20:11:31,4,/produkt/2004,,
25,2023-04-03T10:40:00,5,/,,
26,2023-04-03T10:40:58,5,/kategoria/psy,,
27,2023-04-03T10:42:26,5,/produkt/2029,,
28,2023-04-03T10:44:11,5,/produkt/2031,,
29,2023-04-03T10:44:14,5,/produkt/2028,,
30,2023-04-03T10:46:11,5,/koszyk,,
31,2023-04-03T10:48:45,5,/dostawa,,
32,2023-04-03T10:50:36,5,/platnosc,,
33,2023-04-03T10:52:41,5,/potwierdzenie,,
34,2024-01-14T14:02:00,6,/,,
35,2024-01-14T14:02:45,6,/kategoria/psy,,
36,2024-01-14T14:04:17,6,/produkt/5011,,
37,2024-01-14T14:06:28,6,/produkt/3006,,
38,2024-01-14T14:06:50,6,/produkt/5007,,
39,2024-01-14T14:08:01,6,/koszyk,,
40,2024-01-14T14:10:57,6,/dostawa,,
41,2024-01-14T14:12:50,6,/platnosc,,
42,2024-01-14T14:15:13,6,/potwierdzenie,,
43,2023-12-06T13:57:00,7,/,,
44,2023-12-06T13:57:16,7,/kategoria/psy,,
45,2023-12-06T13:59:53,7,/produkt/1021,,
46,2023-12-06T14:01:11,7,/produkt/1012,,
47,2023-12-06T14:01:19,7,/produkt/2023,,
48,2023-12-06T14:02:25,7,/koszyk,,
49,2023-12-06T14:05:47,7,/dostawa,,
50,2023-12-06T14:07:16,7,/platnosc,,
51,2023-12-06T14:10:07,7,/potwierdzenie,,
52,2023-08-15T18:25:00,8,/,,
53,2023-08-15T18:25:20,8,/,,
54,2023-08-15T18:25:55,8,/kategoria/koty,,
55,2023-08-15T18:28:21,8,/,,
56,2023-11-21T18:13:00,9,/,,
57,2023-11-21T18:13:43,9,/kategoria/psy/zabawki,,
58,2023-11-21T18:14:52,9,/produkt/2028,,
59,2023-11-21T18:17:11,9,/produkt/2028,,
60,2023-11-21T18:16:55,9,/produkt/1016,,
61,2023-11-21T18:19:57,9,/koszyk,,
62,2023-11-21T18:20:43,9,/dostawa,,
63,2023-11-21T18:23:37,9,/platnosc,,
64,2023-11-21T18:25:56,9,/potwierdzenie,,
65,2023-08-17T22:39:00,10,/,,
66,2023-08-17T22:39:51,10,/kategoria/psy/zabawki,,
67,2023-08-17T22:41:02,10,/produkt/3007,,
68,2023-08-17T22:43:18,10,/produkt/3006,,
69,2023-08-17T22:43:42,10,/produkt/1014,,
70,2023-08-17T22:45:52,10,/koszyk,,
71,2023-08-17T22:46:41,10,/dostawa,,
72,2023-08-17T22:49:15,10,/platnosc,,
73,2023-08-17T22:51:10,10,/potwierdzenie,,
74,2023-04-07T18:47:00,11,/,,
75,2023-04-07T18:47:29,11,/,,
76,2023-04-07T18:48:40,11,/produkt/2031,,
77,2023-04-07T18:51:43,11,/produkt/4004,,
78,2023-04-07T18:52:41,11,/koszyk,,
79,2023-04-07T18:54:47,11,/dostawa,,
80,2023-04-07T18:56:43,11,/platnosc,,
81,2023-04-07T18:59:38,11,/potwierdzenie,,
82,2023-08-15T19:16:00,12,/,,
83,2023-08-15T19:16:40,12,/kategoria/psy/zabawki,,
84,2023-08-15T19:17:31,12,/produkt/1019,,
85,2023-08-15T19:19:52,12,/produkt/3004,,
86,2023-08-15T19:22:05,12,/koszyk,,
87,2023-08-15T19:24:34,12,/dostawa,,
88,2023-08-15T19:26:36,12,/platnosc,,
89,2023-08-15T19:28:42,12,/potwierdzenie,,
90,2024-05-02T15:16:00,13,/,,
91,2024-05-02T15:17:00,13,/kategoria/koty,,
92,2023-05-05T16:13:00,14,/,,
93,2023-05-05T16:13:10,14,/,,
94,2023-05-05T16:15:10,14,/produkt/2028,,
95,2023-05-05T16:17:46,14,/produkt/1002,,
96,2023-05-05T16:17:48,14,/produkt/2028,,
97,2023-05-05T16:18:22,14,/koszyk,,
98,2023-05-05T16:20:49,14,/dostawa,,
99,2023-05-05T16:23:09,14,/platnosc,,
100,2023-05-05T16:25:12,14,/potwierdzenie,,
101,2023-11-18T16:24:00,15,/,,
102,2023-11-18T16:24:36,15,/kategoria/ptaki,,
103,2023-11-18T16:25:19,15,/kategoria/gryzonie,,
104,2023-07-07T17:21:00,16,/,,
105,2023-07-07T17:21:19,16,/kategoria/koty,,
106,2023-07-07T17:22:39,16,/produkt/5008,,
107,2023-07-07T17:24:54,16,/produkt/1035,,
108,2023-07-07T17:26:44,16,/koszyk,,
109,2023-07-07T17:28:33,16,/dostawa,,
110,2023-07-07T17:30:48,16,/platnosc,,
111,2023-07-07T17:33:38,16,/potwierdzenie,,
112,2023-03-25T13:14:00,17,/,,
113,2023-03-25T13:14:19,17,/kategoria/ptaki,,
114,2023-03-25T13:16:11,17,/produkt/2017,,
115,2023-03-25T13:17:27,17,/produkt/2017,,
116,2023-03-25T13:20:10,17,/koszyk,,
117,2023-03-25T13:21:43,17,/dostawa,,
118,2023-03-25T13:24:07,17,/platnosc,,
119,2023-03-25T13:26:08,17,/potwierdzenie,,
120,2023-10-04T08:43:00,18,/,,
121,2023-10-04T08:43:18,18,/kategoria/psy/karma,,
122,2023-10-04T08:44:26,18,/produkt/5005,,
123,2023-10-04T08:47:16,18,/produkt/2005,,
124,2023-10-04T08:46:25,18,/produkt/2029,,
125,2023-10-04T08:48:23,18,/koszyk,,
126,2023-10-04T08:50:34,18,/dostawa,,
127,2023-10-04T08:54:03,18,/platnosc,,
128,2023-10-04T08:55:11,18,/potwierdzenie,,
129,2023-06-26T08:33:00,19,/,,
130,2023-06-26T08:33:16,19,/kategoria/psy/zabawki,,
131,2023-06-26T08:35:55,19,/produkt/2025,,
132,2023-06-26T08:37:45,19,/produkt/2023,,
133,2023-06-26T08:37:12,19,/produkt/1025,,
134,2023-06-26T08:39:39,19,/koszyk,,
135,2023-06-26T08:40:34,19,/dostawa,,
136,2023-06-26T08:43:19,19,/platnosc,,
137,2023-06-26T08:45:08,19,/potwierdzenie,,
138,2023-12-16T09:58:00,20,/,,
139,2023-12-16T09:59:03,20,/kategoria/koty/karma,,
140,2023-12-16T10:01:40,20,/produkt/2002,,
141,2023-12-16T10:01:24,20,/kategoria/ryby-i-akwaria,,
142,2023-12-16T10:04:03,20,/produkt/2008,,
143,2023-11-20T09:08:00,21,/,,
144,2023-11-20T09:08:29,21,/kategoria/ptaki,,
145,2023-11-20T09:10:27,21,/produkt/5005,,
146,2023-11-20T09:12:22,21,/produkt/2007,,
147,2023-11-20T09:12:49,21,/produkt/1029,,
148,2023-11-20T09:14:54,21,/koszyk,,
149,2023-11-20T09:16:05,21,/dostawa,,
150,2023-11-20T09:17:52,21,/platnosc,,
151,2023-11-20T09:20:22,21,/potwierdzenie,,
152,2023-07-05T20:29:00,22,/,,
153,2023-07-05T20:29:16,22,/kategoria/koty/karma,,
154,2023-07-05T20:31:30,22,/produkt/4003,,
155,2023-07-05T20:33:22,22,/produkt/2021,,
156,2023-07-05T20:33:55,22,/produkt/5006,,
157,2023-07-05T20:34:57,22,/koszyk,,
158,2023-07-05T20:36:47,22,/dostawa,,
159,2023-07-05T20:39:39,22,/platnosc,,
160,2023-07-05T20:41:54,22,/potwierdzenie,,
161,2024-01-24T13:29:00,23,/,,
162,2024-01-24T13:29:58,23,/kategoria/koty/zabawki,,
163,2024-01-24T13:30:10,23,/produkt/1017,,
