website_session_id,created_at,user_id,is_repeat_session,utm_source,utm_campaign,utm_content,device_type,http_referer,,
1,2023-05-03T16:19:00,,0,instagram,summer_sale,text_ad,tablet,https://mail.google.com,,
2,2024-03-10T08:46:00,,0,facebook,new_customer_20,story,mobile,https://www.instagram.com,,
3,2024-04-15T15:21:00,63,0,direct,free_shipping,story,desktop,https://www.facebook.com,,
4,2023-09-28T20:08:00,,0,facebook,summer_sale,story,desktop,https://www.facebook.com,,
5,2023-04-03T10:40:00,173,0,direct,loyalty_program,story,tablet,https://www.google.com,,
6,2024-01-14T14:02:00,72,0,,,,desktop,,,
7,2023-12-06T13:57:00,160,1,,,,tablet,,,
8,2023-08-15T18:25:00,,0,facebook,loyalty_program,post,tablet,https://www.facebook.com,,
9,2023-11-21T18:13:00,14,1,,,,tablet,,,
10,2023-08-17T22:39:00,163,0,direct,loyalty_program,newsletter,desktop,https://www.instagram.com,,
11,2023-04-07T18:47:00,51,0,google,free_shipping,banner_ad,desktop,https://www.instagram.com,,
12,2023-08-15T19:16:00,140,1,,,,tablet,,,
13,2024-05-02T15:16:00,,0,instagram,summer_sale,story,mobile,https://mail.google.com,,
14,2023-05-05T16:13:00,,0,email,summer_sale,story,desktop,https://www.instagram.com,,
15,2023-11-18T16:24:00,176,1,,,,mobile,,,
16,2023-07-07T17:21:00,39,0,direct,pet_lover_promo,post,mobile,https://www.facebook.com,,
17,2023-03-25T13:14:00,162,0,direct,new_customer_20,text_ad,tablet,https://mail.google.com,,
18,2023-10-04T08:43:00,53,1,,,,tablet,,,
19,2023-06-26T08:33:00,62,1,,,,desktop,,,
20,2023-12-16T09:58:00,,0,instagram,pet_lover_promo,newsletter,mobile,https://www.google.com,,
21,2023-11-20T09:08:00,129,1,,,,desktop,,,
22,2023-07-05T20:29:00,8,1,,,,tablet,,,
23,2024-01-24T13:29:00,11,0,instagram,free_shipping,story,desktop,https://www.facebook.com,,
24,2024-03-18T11:20:00,39,0,facebook,pet_lover_promo,story,mobile,https://www.facebook.com,,
25,2023-02-06T14:39:00,59,1,,,,tablet,,,
26,2023-09-11T10:31:00,,0,email,pet_lover_promo,story,desktop,https://www.instagram.com,,
27,2024-04-20T18:25:00,193,1,,,,tablet,,,
28,2024-02-05T13:38:00,77,1,,,,desktop,,,
29,2023-03-31T18:04:00,42,1,,,,desktop,,,
30,2023-06-16T15:18:00,198,1,,,,desktop,,,
31,2023-09-05T19:13:00,97,1,,,,desktop,,,
32,2023-12-23T18:22:00,164,1,,,,mobile,,,
33,2023-04-27T10:38:00,58,1,,,,mobile,,,
34,2023-06-25T15:46:00,70,1,,,,tablet,,,
35,2023-08-18T10:55:00,61,0,instagram,loyalty_program,story,desktop,https://www.google.com,,
36,2024-04-21T20:46:00,183,0,google,free_shipping,newsletter,mobile,https://www.google.com,,
37,2024-03-29T10:51:00,85,0,google,summer_sale,banner_ad,tablet,https://www.google.com,,
38,2023-06-06T11:45:00,91,1,,,,desktop,,,
39,2024-01-02T21:12:00,155,1,,,,tablet,,,
40,2023-08-18T22:43:00,84,1,,,,desktop,,,
41,2023-07-17T12:46:00,,0,direct,free_shipping,banner_ad,tablet,https://www.instagram.com,,
42,2024-02-16T14:02:00,167,0,direct,summer_sale,text_ad,desktop,https://www.facebook.com,,
43,2024-02-03T17:23:00,137,0,facebook,summer_sale,text_ad,tablet,https://www.facebook.com,,
44,2023-10-26T13:03:00,65,0,,,,tablet,,,
45,2024-01-05T11:06:00,140,1,,,,tablet,,,
46,2023-08-02T15:15:00,18,1,,,,mobile,,,
47,2023-07-31T14:40:00,94,0,,,,mobile,,,
48,2023-10-21T22:51:00,29,1,,,,mobile,,,
49,2024-02-26T10:34:00,56,1,,,,tablet,,,
50,2024-04-02T12:25:00,106,1,,,,tablet,,,
51,2023-10-10T18:25:00,11,1,,,,tablet,,,
52,2023-04-17T13:43:00,96,1,,,,desktop,,,
53,2023-03-22T09:56:00,115,1,,,,desktop,,,
54,2024-04-03T21:22:00,41,0,,,,desktop,,,
55,2024-01-05T13:27:00,14,1,,,,desktop,,,
56,2024-05-13T22:58:00,109,1,,,,mobile,,,
57,2024-02-07T17:31:00,83,1,,,,desktop,,,
58,2023-05-26T22:00:00,114,1,,,,desktop,,,
59,2023-11-26T13:03:00,181,1,,,,mobile,,,
60,2024-04-04T08:43:00,113,1,,,,desktop,,,
61,2023-06-02T12:20:00,23,1,,,,desktop,,,
62,2024-03-11T22:25:00,,0,direct,loyalty_program,story,mobile,https://www.instagram.com,,
63,2023-04-26T20:30:00,111,1,,,,tablet,,,
64,2024-02-15T13:35:00,,0,,,,tablet,,,
65,2023-11-11T21:15:00,134,1,,,,tablet,,,
66,2023-11-21T16:09:00,8,0,direct,free_shipping,banner_ad,mobile,https://www.google.com,,
67,2023-02-19T18:56:00,16,1,,,,mobile,,,
68,2024-01-09T13:08:00,101,1,,,,mobile,,,
69,2023-07-04T18:07:00,87,1,,,,desktop,,,
70,2023-06-01T17:06:00,193,0,google,pet_lover_promo,post,tablet,https://mail.google.com,,
71,2023-06-03T16:14:00,106,1,,,,desktop,,,
72,2023-05-14T15:09:00,164,0,instagram,new_customer_20,post,desktop,https://www.instagram.com,,
73,2024-02-10T18:36:00,5,0,facebook,new_customer_20,post,tablet,https://www.instagram.com,,
74,2023-04-18T12:43:00,,0,,,,mobile,,,
75,2023-06-03T18:45:00,37,1,,,,tablet,,,
76,2023-04-11T21:40:00,108,1,,,,desktop,,,
77,2023-03-31T14:30:00,51,0,facebook,pet_lover_promo,banner_ad,mobile,https://www.instagram.com,,
78,2023-08-28T14:04:00,178,1,,,,desktop,,,
79,2023-08-19T18:44:00,110,0,email,free_shipping,story,desktop,https://www.instagram.com,,
80,2023-04-23T10:18:00,80,1,,,,desktop,,,
81,2024-04-03T22:47:00,161,1,,,,mobile,,,
82,2024-03-15T21:16:00,83,1,,,,mobile,,,
83,2023-05-24T17:28:00,137,0,,,,mobile,,,
84,2023-07-24T10:22:00,86,0,direct,new_customer_20,text_ad,desktop,https://mail.google.com,,
85,2023-11-04T18:38:00,,0,,,,tablet,,,
86,2024-01-03T14:20:00,184,1,,,,mobile,,,
87,2023-03-27T10:53:00,194,1,,,,tablet,,,
